epoch,loss,val_loss
0,0.005899162031710148,0.001816942822188139
1,0.0017934598727151752,0.0018746268469840288
2,0.001444322057068348,0.0021038975100964308
3,0.0012563703348860145,0.002568233059719205
4,0.0011434953194111586,0.002898621605709195
5,0.001062726485542953,0.002359954873099923
6,0.0009995319414883852,0.0016350509831681848
7,0.0009648523409850895,0.0012752882903441787
8,0.00094271992566064,0.001129459124058485
9,0.0009258398786187172,0.0010329479118809104
10,0.0009115082793869078,0.0009822786087170243
11,0.0008968595648184419,0.0009783791610971093
12,0.0008784355013631284,0.0014197793789207935
13,0.0008196291164495051,0.008070037700235844
14,0.0006117437151260674,0.02241736650466919
15,0.0004289362404961139,0.017973359674215317
16,0.0003423884336370975,0.010159146040678024
17,0.000296958809485659,0.004203620832413435
18,0.0002665427455212921,0.0021744875703006983
19,0.0002705290971789509,0.001971648773178458
20,0.00022482872009277344,0.001077583059668541
21,0.00020862993551418185,0.0007410590769723058
22,0.00019583011453505605,0.0005721853231079876
23,0.00018482173618394881,0.0004777466820087284
24,0.00017516377556603402,0.00045200734166428447
25,0.00016673952632118016,0.00043176926556043327
26,0.00015913380775600672,0.00039597778231836855
27,0.00015208247350528836,0.0003582648641895503
28,0.00014606684271711856,0.00033219883334822953
29,0.00014092914352659136,0.000321944709867239
30,0.00013603820116259158,0.0002723213692661375
31,0.0001312960812356323,0.00023420828802045435
32,0.00012716342462226748,0.00021978894073981792
33,0.00012397675891406834,0.00021698218188248575
34,0.0001195525037473999,0.00020277539442759007
35,0.00011552188516361639,0.0001886116515379399
36,0.00011200362496310845,0.00017812778241932392
37,0.00010883621871471405,0.00017294152348767966
38,0.00010578388173598796,0.00017238558211829513
39,0.00010263646981911734,0.00016934951418079436
40,9.950049570761621e-05,0.0001756825076881796
41,9.653589950175956e-05,0.00018650159472599626
42,9.363068238599226e-05,0.0001611864718142897
43,9.086089266929775e-05,0.0001468876434955746
44,8.83995380718261e-05,0.00014137478137854487
45,8.616533887106925e-05,0.00013393594417721033
46,8.38651685626246e-05,0.0001224362786160782
47,8.184617036022246e-05,0.00011238329170737416
48,7.989232835825533e-05,0.00010689291229937226
49,7.828033267287537e-05,0.00010830190149135888
50,7.646127778571099e-05,0.00010276025568600744
51,7.483185618184507e-05,0.00010229532927041873
52,7.323738100240007e-05,0.00010313269740436226
53,7.154963532229885e-05,0.0001037578476825729
54,7.021780038485304e-05,9.694011532701552e-05
55,6.871553341625258e-05,9.311052417615429e-05
56,6.744379788869992e-05,8.869061275618151e-05
57,6.556194421136752e-05,8.969277405412868e-05
58,6.414402014343068e-05,9.58444070420228e-05
59,6.270836456678808e-05,8.939379040384665e-05
60,6.128725362941623e-05,8.422132668783888e-05
61,5.9879130276385695e-05,8.372108277399093e-05
62,5.875994611415081e-05,8.306968811666593e-05
63,5.7764806115301326e-05,8.234674896812066e-05
64,5.690533362212591e-05,8.142937440425158e-05
65,5.6249689805554226e-05,7.747299241600558e-05
66,5.5433829402318224e-05,7.016874587861821e-05
67,5.4703301429981366e-05,6.601301720365882e-05
68,5.3712738008471206e-05,6.59584766253829e-05
69,5.262773629510775e-05,6.604552618227899e-05
70,5.185614281799644e-05,6.75516712362878e-05
71,5.0738333811750636e-05,6.669561844319105e-05
72,5.019527816330083e-05,6.937143189134076e-05
73,4.957997953169979e-05,6.891565135447308e-05
74,4.982620521332137e-05,6.228442362044007e-05
75,5.0876195018645376e-05,6.851474608993158e-05
76,6.447974010370672e-05,0.0003752793127205223
77,6.401273276424035e-05,0.0001017479007714428
78,4.8500511184101924e-05,0.00010117425699718297
79,4.650485061574727e-05,8.84780747583136e-05
80,4.531876402324997e-05,7.37100635888055e-05
81,4.44135075667873e-05,6.078555088606663e-05
82,4.3619918869808316e-05,6.015642429701984e-05
83,4.252994040143676e-05,5.4203355830395594e-05
84,4.18123381678015e-05,5.248178422334604e-05
85,4.086268017999828e-05,5.88937291468028e-05
86,4.004984293715097e-05,5.612201857729815e-05
87,3.9302762161241844e-05,5.132529258844443e-05
88,3.84572813345585e-05,4.9969006795436144e-05
89,3.773482603719458e-05,5.184335168451071e-05
90,3.719309461303055e-05,4.748261198983528e-05
91,3.6579149309545755e-05,4.5687320380238816e-05
92,3.6035333323525265e-05,4.5017437514616176e-05
93,3.546514199115336e-05,4.4042735680704936e-05
94,3.500170350889675e-05,4.5139913709135726e-05
95,3.4982411307282746e-05,5.683428389602341e-05
96,3.424668830120936e-05,4.776129935635254e-05
97,3.3762597013264894e-05,4.6523600758519024e-05
98,3.352235580678098e-05,5.886250073672272e-05
99,3.343230491736904e-05,5.280126424622722e-05
