epoch,loss,val_loss
0,0.001907992991618812,0.0016620231326669455
1,0.0008829552098177373,0.0009022476733662188
2,0.0005354678723961115,0.0036528033670037985
3,0.0002097143733408302,0.0004480038769543171
4,0.0001499829231761396,0.00019389507360756397
5,0.00011791769793489948,0.00012668431736528873
6,9.640412463340908e-05,9.027419582707807e-05
7,8.158296259352937e-05,8.643754699733108e-05
8,7.07212820998393e-05,8.320167398778722e-05
9,6.728900916641578e-05,6.228186975931749e-05
10,5.558590783039108e-05,5.939768016105518e-05
11,5.108835466671735e-05,7.432882557623088e-05
12,4.8360019718529657e-05,4.66240308014676e-05
13,4.378731318865903e-05,5.2404382586246356e-05
14,4.4406624510884285e-05,4.036651807837188e-05
15,3.9630820538150147e-05,4.295539838494733e-05
16,3.71946589439176e-05,3.6321827792562544e-05
17,3.5469223803374916e-05,3.580762131605297e-05
18,3.412680234760046e-05,3.5809469409286976e-05
19,3.383287548786029e-05,3.2945659768301994e-05
20,3.1683899578638375e-05,3.240392834413797e-05
21,3.0864131986163557e-05,3.9164162444649264e-05
22,3.019824725924991e-05,3.3341042581014335e-05
23,2.9001583243370987e-05,3.188999471603893e-05
24,2.7703783416654915e-05,2.7640528060146607e-05
25,2.724756814131979e-05,3.111544356215745e-05
26,2.682368540263269e-05,2.6629799322108738e-05
27,2.598107312223874e-05,2.5857969376374967e-05
28,2.5240989998565055e-05,2.7821992262033746e-05
29,2.47057596425293e-05,2.4742377718212083e-05
30,2.434157613606658e-05,2.450406100251712e-05
31,2.3852093363530003e-05,2.5076920792344026e-05
32,2.359701829846017e-05,2.484858123352751e-05
33,2.2997406631475314e-05,2.2650185201200657e-05
34,2.242696427856572e-05,2.175209010601975e-05
35,2.2359807189786807e-05,2.2609765437664464e-05
36,2.2323498342302628e-05,4.623843778972514e-05
37,2.1956473574391566e-05,8.059848914854228e-05
38,2.1439265765366144e-05,2.3170259737526067e-05
39,2.0848048734478652e-05,2.182109165005386e-05
40,2.0524990759440698e-05,2.11259593925206e-05
41,2.0347057215985842e-05,3.4667158615775406e-05
42,2.0003555619041435e-05,3.872422166750766e-05
43,1.9674165741889738e-05,3.0607312510255724e-05
44,1.9559038264560513e-05,4.529795842245221e-05
45,1.95468219317263e-05,3.860025753965601e-05
46,1.9428589439485222e-05,7.942792581161484e-05
47,1.92508778127376e-05,2.268509524583351e-05
48,1.8808934328262694e-05,1.9512986909830943e-05
49,1.8758924852591008e-05,3.679166184156202e-05
50,1.8440570784150623e-05,4.586145223584026e-05
51,1.8421380445943214e-05,2.230115387646947e-05
52,1.8284557881997898e-05,3.214173193555325e-05
53,1.8290415027877316e-05,2.5609491785871796e-05
54,1.8061109585687518e-05,2.4195296646212228e-05
55,1.7899448721436784e-05,2.0573199435602874e-05
56,1.7680114979157224e-05,2.131456130882725e-05
57,1.750610681483522e-05,1.7917813238454983e-05
58,1.739066283334978e-05,2.1761356038041413e-05
59,1.7283613487961702e-05,1.9109116692561656e-05
60,1.7042913896148093e-05,5.851573223480955e-05
61,1.6981972294161096e-05,1.796491960703861e-05
62,1.681136382103432e-05,1.7905091226566583e-05
63,1.6585938283242285e-05,6.343574932543561e-05
64,1.6510446585016325e-05,7.903538789832965e-05
65,1.6487249013152905e-05,4.187092781648971e-05
66,1.6431615222245455e-05,2.9586872187792324e-05
67,1.625909499125555e-05,2.3012846213532612e-05
68,1.62977485160809e-05,1.8697643099585548e-05
69,1.6174208212760277e-05,1.8913589883595705e-05
70,1.60198105731979e-05,3.563786594895646e-05
71,1.5847457689233124e-05,3.9295508031500503e-05
72,1.5912160961306654e-05,1.7235339328181e-05
73,1.560198506922461e-05,1.9529687051544897e-05
74,1.5465111573575996e-05,1.870369669632055e-05
75,1.5318853911594488e-05,2.2372892999555916e-05
76,1.5169715879892465e-05,2.2327862097881734e-05
77,1.5109865671547595e-05,1.9657631128211506e-05
78,1.4929386452422477e-05,5.119930938235484e-05
79,1.4823935998720117e-05,2.114644848916214e-05
80,1.489270380261587e-05,1.559414158691652e-05
81,1.4656449820904527e-05,2.0900333765894175e-05
82,1.4685613678011578e-05,2.4627777747809887e-05
83,1.4612856830353849e-05,1.758061807777267e-05
84,1.4554009794665035e-05,1.7157095498987474e-05
85,1.4671696590085048e-05,1.6390757082263008e-05
86,1.4479795936495066e-05,1.6747371773817576e-05
87,1.4304629075923003e-05,1.5785515643074177e-05
88,1.417200928699458e-05,1.9469580365694128e-05
89,1.4186728549248073e-05,1.5938800061121583e-05
90,1.4048551747691818e-05,1.704904752841685e-05
91,1.3942551049694885e-05,1.7380574718117714e-05
92,1.390159650327405e-05,3.0301051083370112e-05
93,1.3873754141968675e-05,1.895979221444577e-05
94,1.3796466191706713e-05,2.337955083930865e-05
95,1.373242776026018e-05,2.3244274416356348e-05
96,1.3642245903611183e-05,1.5292982425307855e-05
97,1.368642824672861e-05,1.7938964447239414e-05
98,1.3587556168204173e-05,1.6883142961887643e-05
99,1.3607136679638643e-05,1.6077605323516764e-05
